old_name,new_name
hardware_m5_hex_nut_iso4032_across_flats,m5_hex_nut_af
hardware_m5_hex_nut_iso4032_height,m5_hex_nut_height
hardware_m3_square_nut_din557_width,m3_square_nut_width
hardware_m3_square_nut_din557_height,m3_square_nut_height
hardware_m4_square_nut_din557_width,m4_square_nut_width
hardware_m4_square_nut_din557_height,m4_square_nut_height
hardware_m3_washer_iso7089_outer_diameter,m3_washer_od
hardware_m3_washer_iso7089_thickness,m3_washer_thick
hardware_m4_washer_iso7089_outer_diameter,m4_washer_od
hardware_m5_washer_iso7089_outer_diameter,m5_washer_od
hardware_dowel_pin_m3_nominal_diameter_h6,m3_dowel_pin_dia
hardware_dowel_pin_m4_nominal_diameter_h6,m4_dowel_pin_dia
hardware_dowel_pin_m5_nominal_diameter_h6,m5_dowel_pin_dia
hardware_dowel_pin_fdm_clearance_receiver_hole,fdm_dowel_clearance
hardware_m3_hex_standoff_outer_diameter,m3_standoff_od
hardware_m2p5_hex_standoff_outer_diameter,m2p5_standoff_od
hardware_zip_tie_2p5mm_slot_width,ziptie_2p5mm_width
hardware_zip_tie_2p5mm_slot_thickness,ziptie_2p5mm_thick
hardware_zip_tie_3p5mm_slot_width,ziptie_3p5mm_width
hardware_zip_tie_3p5mm_slot_thickness,ziptie_3p5mm_thick
nut_trap_m3_hex_pocket_across_flats_fdm,m3_nut_pocket_af
nut_trap_m3_hex_pocket_depth_fdm,m3_nut_pocket_depth
nut_trap_m3_hex_circumscribed_diameter_fdm,m3_nut_pocket_circum
nut_trap_m3_square_pocket_width_fdm,m3_sq_nut_pocket_width
nut_trap_m3_square_pocket_depth_fdm,m3_sq_nut_pocket_depth
nut_trap_m4_hex_pocket_across_flats_fdm,m4_nut_pocket_af
nut_trap_m4_hex_pocket_depth_fdm,m4_nut_pocket_depth
nut_trap_m5_hex_pocket_across_flats_fdm,m5_nut_pocket_af
nut_trap_m5_hex_pocket_depth_fdm,m5_nut_pocket_depth
counterbore_m2_button_head_pocket_diameter,m2_button_cbore_dia
counterbore_m2_button_head_pocket_depth,m2_button_cbore_depth
counterbore_m2p5_button_head_pocket_diameter,m2p5_button_cbore_dia
counterbore_m2p5_button_head_pocket_depth,m2p5_button_cbore_depth
counterbore_m3_button_head_pocket_diameter,m3_button_cbore_dia
counterbore_m3_button_head_pocket_depth,m3_button_cbore_depth
counterbore_m3_socket_cap_pocket_diameter,m3_socket_cbore_dia
counterbore_m3_socket_cap_pocket_depth,m3_socket_cbore_depth
counterbore_m4_button_head_pocket_diameter,m4_button_cbore_dia
counterbore_m4_button_head_pocket_depth,m4_button_cbore_depth
counterbore_m5_button_head_pocket_diameter,m5_button_cbore_dia
countersink_metric_flat_head_angle_degrees,countersink_angle
countersink_m3_flat_head_top_diameter,m3_countersink_dia
countersink_m4_flat_head_top_diameter,m4_countersink_dia
thread_fdm_offset_face_per_flank_petg_abs,fdm_thread_offset_petg
thread_fdm_offset_face_per_flank_pla,fdm_thread_offset_pla
thread_fdm_addon_tolerance_profile_petg,fdm_thread_tol_petg
thread_fdm_addon_tolerance_profile_pla,fdm_thread_tol_pla
thread_iso_metric_pitch_m2,m2_thread_pitch
thread_iso_metric_pitch_m2p5,m2p5_thread_pitch
thread_iso_metric_pitch_m3,m3_thread_pitch
thread_iso_metric_pitch_m4,m4_thread_pitch
thread_iso_metric_pitch_m5,m5_thread_pitch
thread_iso_metric_pitch_m6,m6_thread_pitch
wall_thickness_minimum_functional_2_perimeters,fdm_wall_minimum
wall_thickness_recommended_structural_4_perims,fdm_wall_structural
wall_thickness_heavy_duty_6_perimeters,fdm_wall_heavy
fillet_radius_minimum_internal_stress_relief,fdm_fillet_min
fillet_radius_standard_external_cosmetic,fdm_fillet_standard
fillet_radius_large_structural_gusset,fdm_fillet_large
chamfer_depth_standard_45_degree,fdm_chamfer_standard
chamfer_depth_lead_in_for_pin_insertion,fdm_chamfer_leadin
overhang_maximum_angle_from_vertical_standard,fdm_overhang_max
overhang_maximum_angle_high_perf_cpap,fdm_overhang_max_cpap
bridge_maximum_reliable_span_with_tuning,fdm_bridge_max
bridge_long_span_sag_z_compensation,fdm_bridge_sag
magnet_disc_6x2mm_outer_diameter,magnet_6x2mm_od
magnet_disc_6x2mm_height,magnet_6x2mm_height
magnet_disc_6x3mm_outer_diameter,magnet_6x3mm_od
magnet_disc_6x3mm_height,magnet_6x3mm_height
magnet_disc_8x2mm_outer_diameter,magnet_8x2mm_od
magnet_disc_8x2mm_height,magnet_8x2mm_height
magnet_disc_10x2mm_outer_diameter,magnet_10x2mm_od
magnet_disc_10x2mm_height,magnet_10x2mm_height
magnet_disc_10x3mm_outer_diameter,magnet_10x3mm_od
magnet_disc_10x3mm_height,magnet_10x3mm_height
magnet_pocket_press_fit_clearance_per_side,magnet_press_fit
magnet_pocket_glue_gap_clearance_per_side,magnet_glue_gap
magnet_pocket_depth_flush_recess,magnet_flush_recess
motion_mgn7h_rail_nominal_width,mgn7h_rail_width
motion_mgn9h_rail_nominal_width,mgn9h_rail_width
motion_mgn12h_rail_nominal_width,mgn12h_rail_width
motion_mgn15h_rail_nominal_width,mgn15h_rail_width
motion_mgn12h_carriage_block_length,mgn12h_carriage_length
motion_mgn12h_carriage_hole_pitch_along_rail,mgn12h_pitch_along
motion_mgn12h_carriage_hole_pitch_across_rail,mgn12h_pitch_across
motion_mgn9h_carriage_hole_pitch_along_rail,mgn9h_pitch_along
motion_mgn9h_carriage_hole_pitch_across_rail,mgn9h_pitch_across
motion_gt2_belt_pitch,gt2_belt_pitch
motion_gt2_belt_nominal_width,gt2_belt_width
motion_gt2_belt_clamp_slot_extra_width,gt2_clamp_extra
motion_gt2_pulley_16t_outer_diameter,gt2_pulley_16t_od
motion_gt2_pulley_20t_outer_diameter,gt2_pulley_20t_od
motion_gt2_pulley_80t_outer_diameter,gt2_pulley_80t_od
motion_gt2_pulley_bore_standard_5mm_shaft,gt2_pulley_bore
motion_gt2_idler_bearing_od_f695,f695_bearing_od
motion_gt2_idler_bearing_id_f695,f695_bearing_id
motion_gt2_idler_bearing_width_f695,f695_bearing_width
motion_nema17_motor_body_width,nema17_body_width
motion_nema17_motor_bolt_pattern_center_to_center,nema17_bolt_pattern_center_to_center
motion_nema17_motor_bolt_size,nema17_bolt_size
motion_nema17_motor_shaft_diameter,nema17_shaft_diameter
motion_nema17_motor_shaft_flat_depth,nema17_shaft_flat_depth
motion_nema17_motor_shaft_length_standard,nema17_shaft_length_standard
motion_nema17_motor_face_boss_diameter,nema17_face_boss_diameter
motion_nema14_motor_body_width,nema14_body_width
motion_nema14_motor_bolt_pattern_center_to_center,nema14_bolt_pattern_center_to_center
motion_nema14_motor_shaft_diameter,nema14_shaft_diameter
motion_vslot_2020_extrusion_width,vslot_2020_extrusion_width
motion_vslot_2040_extrusion_width,vslot_2040_extrusion_width
motion_tslot_m3_nut_slot_clearance_width,tslot_m3_nut_slot_clearance_width
motion_beacon_probe_body_outer_diameter,beacon_probe_body_outer_diameter
motion_beacon_probe_body_total_length,beacon_probe_body_total_length
motion_orbiter_v25_motor_mount_bolt_pattern,orbiter_v25_motor_mount_bolt_pattern
motion_orbiter_v25_filament_path_offset_from_mount,orbiter_v25_filament_path_offset_from_mount
motion_chube_hotend_collet_outer_diameter,chube_hotend_collet_outer_diameter
motion_can_bus_cable_chain_slot_width,canbus_cable_chain_slot_width
motion_toolhead_carriage_plate_thickness_5mm,toolhead_plate_5mm
motion_toolhead_carriage_plate_thickness_4mm,toolhead_plate_4mm
cnc_aluminum_6061_stock_plate_thickness_tolerance,cnc_plate_tolerance
cnc_aluminum_drilled_hole_oversize,cnc_drilled_oversize
cnc_aluminum_reamed_hole_h7_tolerance_at_5mm,cnc_h7_ream_tol
cnc_aluminum_tap_drill_m2_diameter,cnc_m2_tap_drill
cnc_aluminum_tap_drill_m2p5_diameter,cnc_m2p5_tap_drill
cnc_aluminum_tap_drill_m3_diameter,cnc_m3_tap_drill
cnc_aluminum_tap_drill_m4_diameter,cnc_m4_tap_drill
cnc_aluminum_tap_drill_m5_diameter,cnc_m5_tap_drill
cnc_aluminum_tap_drill_m6_diameter,cnc_m6_tap_drill
cnc_aluminum_thread_engagement_minimum_diameter_ratio,cnc_thread_engage_min_ratio
cnc_aluminum_thread_engagement_recommended_ratio,cnc_thread_engage_rec_ratio
cnc_aluminum_minimum_wall_for_tapped_hole,cnc_min_wall_tap
cnc_aluminum_countersink_m3_flat_head_4mm_plate,cnc_m3_csink_4mm
cnc_aluminum_countersink_m3_flat_head_5mm_plate,cnc_m3_csink_5mm
cnc_aluminum_pocket_depth_tolerance_typical_service,cnc_pocket_depth_tol
cnc_aluminum_press_fit_pin_h7_in_6061_5mm,cnc_5mm_press_fit_pin
cnc_aluminum_6061_thermal_expansion_per_degree_c,cnc_thermal_expansion
material_pla_print_shrink_percent,pla_shrink
material_petg_print_shrink_percent,petg_shrink
material_abs_print_shrink_percent,abs_shrink
material_asa_print_shrink_percent,asa_shrink
material_abs_minimum_chamber_temp_celsius,abs_chamber_temp
material_pc_minimum_chamber_temp_celsius,pc_chamber_temp
material_tpu_95a_shore_hardness,tpu_95a_hardness
material_tpu_85a_shore_hardness,tpu_85a_hardness
material_6061_fdm_diff_expansion_per_deg_c,fdm_6061_diff_expansion
electronics_raspberry_pi_4_5_mount_hole_pitch_x,rpi4_mount_pitch_x
electronics_raspberry_pi_4_5_mount_hole_pitch_y,rpi4_mount_pitch_y
electronics_raspberry_pi_board_width,rpi_board_width
electronics_raspberry_pi_board_length,rpi_board_length
electronics_btt_octopus_mount_hole_pitch_x,octopus_mount_pitch_x
electronics_btt_octopus_mount_hole_pitch_y,octopus_mount_pitch_y
electronics_btt_skr_mini_e3_mount_hole_pitch_x,skr_mini_mount_pitch_x
electronics_btt_skr_mini_e3_mount_hole_pitch_y,skr_mini_mount_pitch_y
electronics_pcb_edge_clearance_to_wall_minimum,pcb_edge_clearance
electronics_din_rail_standard_width,din_rail_width
electronics_din_rail_clip_engagement_depth,din_rail_clip_depth
electronics_jst_xh_2p54_connector_body_width_2pin,jst_xh_2pin_width
electronics_jst_xh_2p54_connector_body_height,jst_xh_height
electronics_usb_a_panel_cutout_width,usb_a_panel_width
electronics_usb_a_panel_cutout_height,usb_a_panel_height
electronics_usb_c_panel_cutout_width,usb_c_panel_width
electronics_usb_c_panel_cutout_height,usb_c_panel_height
electronics_xt30_panel_cutout_diameter,xt30_panel_dia
electronics_xt60_panel_cutout_diameter,xt60_panel_dia
electronics_wago_221_lever_nut_body_width_2way,wago221_body_width_2way
electronics_wago_221_lever_nut_body_height,wago221_body_height
electronics_wago_221_lever_nut_body_depth,wago221_body_depth
electronics_esp32_devkit_board_width,esp32_board_width
electronics_esp32_devkit_board_length,esp32_board_length
electronics_d1_mini_esp8266_board_width,d1mini_board_width
electronics_d1_mini_esp8266_board_length,d1mini_board_length
home_auto_us_single_gang_box_internal_width,gang_box_internal_width
home_auto_us_single_gang_box_internal_height,gang_box_internal_height
home_auto_us_decora_faceplate_cutout_width,decora_cutout_width
home_auto_us_decora_faceplate_cutout_height,decora_cutout_height
home_auto_conduit_half_inch_knockout_diameter,conduit_half_inch_knockout_dia
home_auto_conduit_three_quarter_inch_knockout_dia,conduit_three_quarter_inch_knockout_dia
home_auto_sonoff_zbdongle_p_body_width,sonoff_zbdongle_p_width
home_auto_sonoff_zbdongle_p_body_length,sonoff_zbdongle_p_length
foam_dart_half_dart_body_outer_diameter,halfdart_body_outer_diameter
foam_dart_half_dart_tip_outer_diameter,halfdart_tip_outer_diameter
foam_dart_half_dart_body_length,halfdart_body_length
foam_dart_full_dart_body_outer_diameter,fulldart_body_outer_diameter
foam_dart_full_dart_tip_outer_diameter,fulldart_tip_outer_diameter
foam_dart_full_dart_overall_length,fulldart_overall_length
foam_dart_barrel_bore_half_dart_performance,halfdart_barrel_performance
foam_dart_barrel_bore_half_dart_slam_fire,halfdart_barrel_slam_fire
foam_dart_flywheel_gap_half_dart_standard,nerf_flywheel_gap_half_dart_standard
foam_dart_flywheel_motor_can_worker_artifact_od,nerf_flywheel_motor_can_worker_artifact_od
foam_dart_spring_guide_rod_diameter_standard,nerf_spring_guide_rod_diameter_standard
foam_dart_plunger_tube_id_19mm,nerf_plunger_id_19mm
foam_dart_plunger_tube_id_25mm,nerf_plunger_id_25mm
foam_dart_plunger_tube_wall_thickness,nerf_plunger_wall_thickness
warhammer_base_25mm_outer_diameter,wh_base_25mm_od
warhammer_base_32mm_outer_diameter,wh_base_32mm_od
warhammer_base_40mm_outer_diameter,wh_base_40mm_od
warhammer_base_50mm_outer_diameter,wh_base_50mm_od
warhammer_base_60mm_outer_diameter,wh_base_60mm_od
warhammer_base_slot_clearance_fdm,wh_base_slot_clearance
warhammer_base_height_standard,wh_base_height
warhammer_flying_stand_post_diameter,wh_flying_post_diameter
warhammer_flying_stand_post_clearance_hole,wh_flying_post_clearance_hole
warhammer_magnetization_base_6x2mm_pocket_id,wh_magnet_6x2_pocket_id
warhammer_magnetization_base_6x2mm_pocket_depth,wh_magnet_6x2_pocket_depth
warhammer_terrain_wall_thickness_minimum_rigid,wh_terrain_wall_thickness_minimum_rigid
warhammer_terrain_wall_thickness_structural_building,wh_terrain_wall_thickness_structural_building
warhammer_kill_team_tile_standard_size,wh_kilteam_tile_standard_size
drill_imperial_fractional_1_64_inch_diameter_mm,drill_1_64
drill_imperial_fractional_1_32_inch_diameter_mm,drill_1_32
drill_imperial_fractional_3_64_inch_diameter_mm,drill_3_64
drill_imperial_fractional_1_16_inch_diameter_mm,drill_1_16
drill_imperial_fractional_5_64_inch_diameter_mm,drill_5_64
drill_imperial_fractional_3_32_inch_diameter_mm,drill_3_32
drill_imperial_fractional_7_64_inch_diameter_mm,drill_7_64
drill_imperial_fractional_1_8_inch_diameter_mm,drill_1_8
drill_imperial_fractional_9_64_inch_diameter_mm,drill_9_64
drill_imperial_fractional_5_32_inch_diameter_mm,drill_5_32
drill_imperial_fractional_11_64_inch_diameter_mm,drill_11_64
drill_imperial_fractional_3_16_inch_diameter_mm,drill_3_16
drill_imperial_fractional_13_64_inch_diameter_mm,drill_13_64
drill_imperial_fractional_7_32_inch_diameter_mm,drill_7_32
drill_imperial_fractional_15_64_inch_diameter_mm,drill_15_64
drill_imperial_fractional_1_4_inch_diameter_mm,drill_1_4
drill_imperial_fractional_17_64_inch_diameter_mm,drill_17_64
drill_imperial_fractional_9_32_inch_diameter_mm,drill_9_32
drill_imperial_fractional_19_64_inch_diameter_mm,drill_19_64
drill_imperial_fractional_5_16_inch_diameter_mm,drill_5_16
drill_imperial_fractional_21_64_inch_diameter_mm,drill_21_64
drill_imperial_fractional_11_32_inch_diameter_mm,drill_11_32
drill_imperial_fractional_23_64_inch_diameter_mm,drill_23_64
drill_imperial_fractional_3_8_inch_diameter_mm,drill_3_8
drill_imperial_fractional_25_64_inch_diameter_mm,drill_25_64
drill_imperial_fractional_13_32_inch_diameter_mm,drill_13_32
drill_imperial_fractional_27_64_inch_diameter_mm,drill_27_64
drill_imperial_fractional_7_16_inch_diameter_mm,drill_7_16
drill_imperial_fractional_29_64_inch_diameter_mm,drill_29_64
drill_imperial_fractional_15_32_inch_diameter_mm,drill_15_32
drill_imperial_fractional_31_64_inch_diameter_mm,drill_31_64
drill_imperial_fractional_1_2_inch_diameter_mm,drill_1_2
drill_imperial_fractional_33_64_inch_diameter_mm,drill_33_64
drill_imperial_fractional_17_32_inch_diameter_mm,drill_17_32
drill_imperial_fractional_35_64_inch_diameter_mm,drill_35_64
drill_imperial_fractional_9_16_inch_diameter_mm,drill_9_16
drill_imperial_fractional_37_64_inch_diameter_mm,drill_37_64
drill_imperial_fractional_19_32_inch_diameter_mm,drill_19_32
drill_imperial_fractional_39_64_inch_diameter_mm,drill_39_64
drill_imperial_fractional_5_8_inch_diameter_mm,drill_5_8
drill_imperial_fractional_41_64_inch_diameter_mm,drill_41_64
drill_imperial_fractional_21_32_inch_diameter_mm,drill_21_32
drill_imperial_fractional_43_64_inch_diameter_mm,drill_43_64
drill_imperial_fractional_11_16_inch_diameter_mm,drill_11_16
drill_imperial_fractional_45_64_inch_diameter_mm,drill_45_64
drill_imperial_fractional_23_32_inch_diameter_mm,drill_23_32
drill_imperial_fractional_47_64_inch_diameter_mm,drill_47_64
drill_imperial_fractional_3_4_inch_diameter_mm,drill_3_4
drill_imperial_fractional_49_64_inch_diameter_mm,drill_49_64
drill_imperial_fractional_25_32_inch_diameter_mm,drill_25_32
drill_imperial_fractional_51_64_inch_diameter_mm,drill_51_64
drill_imperial_fractional_13_16_inch_diameter_mm,drill_13_16
drill_imperial_fractional_53_64_inch_diameter_mm,drill_53_64
drill_imperial_fractional_27_32_inch_diameter_mm,drill_27_32
drill_imperial_fractional_55_64_inch_diameter_mm,drill_55_64
drill_imperial_fractional_7_8_inch_diameter_mm,drill_7_8
drill_imperial_fractional_57_64_inch_diameter_mm,drill_57_64
drill_imperial_fractional_29_32_inch_diameter_mm,drill_29_32
drill_imperial_fractional_59_64_inch_diameter_mm,drill_59_64
drill_imperial_fractional_15_16_inch_diameter_mm,drill_15_16
drill_imperial_fractional_61_64_inch_diameter_mm,drill_61_64
drill_imperial_fractional_31_32_inch_diameter_mm,drill_31_32
drill_imperial_fractional_63_64_inch_diameter_mm,drill_63_64
drill_imperial_fractional_1_1_inch_diameter_mm,drill_1
woodscrew_gauge_00_major_diameter_mm,ws0_major_dia
woodscrew_gauge_00_pilot_hole_softwood_mm,ws0_pilot_soft
woodscrew_gauge_00_pilot_hole_hardwood_mm,ws0_pilot_hard
woodscrew_gauge_00_clearance_hole_top_board_mm,ws0_clearance
woodscrew_gauge_01_major_diameter_mm,ws1_major_dia
woodscrew_gauge_01_pilot_hole_softwood_mm,ws1_pilot_soft
woodscrew_gauge_01_pilot_hole_hardwood_mm,ws1_pilot_hard
woodscrew_gauge_01_clearance_hole_top_board_mm,ws1_clearance
woodscrew_gauge_02_major_diameter_mm,ws2_major_dia
woodscrew_gauge_02_pilot_hole_softwood_mm,ws2_pilot_soft
woodscrew_gauge_02_pilot_hole_hardwood_mm,ws2_pilot_hard
woodscrew_gauge_02_clearance_hole_top_board_mm,ws2_clearance
woodscrew_gauge_02_countersink_flat_head_diameter_mm,ws2_csink_dia
woodscrew_gauge_03_major_diameter_mm,ws3_major_dia
woodscrew_gauge_03_pilot_hole_softwood_mm,ws3_pilot_soft
woodscrew_gauge_03_pilot_hole_hardwood_mm,ws3_pilot_hard
woodscrew_gauge_03_clearance_hole_top_board_mm,ws3_clearance
woodscrew_gauge_03_countersink_flat_head_diameter_mm,ws3_csink_dia
woodscrew_gauge_04_major_diameter_mm,ws4_major_dia
woodscrew_gauge_04_pilot_hole_softwood_mm,ws4_pilot_soft
woodscrew_gauge_04_pilot_hole_hardwood_mm,ws4_pilot_hard
woodscrew_gauge_04_clearance_hole_top_board_mm,ws4_clearance
woodscrew_gauge_04_countersink_flat_head_diameter_mm,ws4_csink_dia
woodscrew_gauge_05_major_diameter_mm,ws5_major_dia
woodscrew_gauge_05_pilot_hole_softwood_mm,ws5_pilot_soft
woodscrew_gauge_05_pilot_hole_hardwood_mm,ws5_pilot_hard
woodscrew_gauge_05_clearance_hole_top_board_mm,ws5_clearance
woodscrew_gauge_05_countersink_flat_head_diameter_mm,ws5_csink_dia
woodscrew_gauge_06_major_diameter_mm,ws6_major_dia
woodscrew_gauge_06_pilot_hole_softwood_mm,ws6_pilot_soft
woodscrew_gauge_06_pilot_hole_hardwood_mm,ws6_pilot_hard
woodscrew_gauge_06_clearance_hole_top_board_mm,ws6_clearance
woodscrew_gauge_06_countersink_flat_head_diameter_mm,ws6_csink_dia
woodscrew_gauge_07_major_diameter_mm,ws7_major_dia
woodscrew_gauge_07_pilot_hole_softwood_mm,ws7_pilot_soft
woodscrew_gauge_07_pilot_hole_hardwood_mm,ws7_pilot_hard
woodscrew_gauge_07_clearance_hole_top_board_mm,ws7_clearance
woodscrew_gauge_07_countersink_flat_head_diameter_mm,ws7_csink_dia
woodscrew_gauge_08_major_diameter_mm,ws8_major_dia
woodscrew_gauge_08_pilot_hole_softwood_mm,ws8_pilot_soft
woodscrew_gauge_08_pilot_hole_hardwood_mm,ws8_pilot_hard
woodscrew_gauge_08_clearance_hole_top_board_mm,ws8_clearance
woodscrew_gauge_08_countersink_flat_head_diameter_mm,ws8_csink_dia
woodscrew_gauge_09_major_diameter_mm,ws9_major_dia
woodscrew_gauge_09_pilot_hole_softwood_mm,ws9_pilot_soft
woodscrew_gauge_09_pilot_hole_hardwood_mm,ws9_pilot_hard
woodscrew_gauge_09_clearance_hole_top_board_mm,ws9_clearance
woodscrew_gauge_09_countersink_flat_head_diameter_mm,ws9_csink_dia
woodscrew_gauge_10_major_diameter_mm,ws10_major_dia
woodscrew_gauge_10_pilot_hole_softwood_mm,ws10_pilot_soft
woodscrew_gauge_10_pilot_hole_hardwood_mm,ws10_pilot_hard
woodscrew_gauge_10_clearance_hole_top_board_mm,ws10_clearance
woodscrew_gauge_10_countersink_flat_head_diameter_mm,ws10_csink_dia
woodscrew_gauge_11_major_diameter_mm,ws11_major_dia
woodscrew_gauge_11_pilot_hole_softwood_mm,ws11_pilot_soft
woodscrew_gauge_11_pilot_hole_hardwood_mm,ws11_pilot_hard
woodscrew_gauge_11_clearance_hole_top_board_mm,ws11_clearance
woodscrew_gauge_11_countersink_flat_head_diameter_mm,ws11_csink_dia
woodscrew_gauge_12_major_diameter_mm,ws12_major_dia
woodscrew_gauge_12_pilot_hole_softwood_mm,ws12_pilot_soft
woodscrew_gauge_12_pilot_hole_hardwood_mm,ws12_pilot_hard
woodscrew_gauge_12_clearance_hole_top_board_mm,ws12_clearance
woodscrew_gauge_12_countersink_flat_head_diameter_mm,ws12_csink_dia
woodscrew_gauge_14_major_diameter_mm,ws14_major_dia
woodscrew_gauge_14_pilot_hole_softwood_mm,ws14_pilot_soft
woodscrew_gauge_14_pilot_hole_hardwood_mm,ws14_pilot_hard
woodscrew_gauge_14_clearance_hole_top_board_mm,ws14_clearance
woodscrew_gauge_14_countersink_flat_head_diameter_mm,ws14_csink_dia
woodscrew_gauge_16_major_diameter_mm,ws16_major_dia
woodscrew_gauge_16_pilot_hole_softwood_mm,ws16_pilot_soft
woodscrew_gauge_16_pilot_hole_hardwood_mm,ws16_pilot_hard
woodscrew_gauge_16_clearance_hole_top_board_mm,ws16_clearance
woodscrew_gauge_18_major_diameter_mm,ws18_major_dia
woodscrew_gauge_18_pilot_hole_softwood_mm,ws18_pilot_soft
woodscrew_gauge_18_pilot_hole_hardwood_mm,ws18_pilot_hard
