Name,Unit,Expression,Value,Comment,Favorite
d1mini_board_length,mm,34.20,3.4200000000000004,Wemos D1 Mini board length.,True
gang_box_internal_width,mm,33.30,3.33,Standard US single-gang electrical box internal width. Used for custom insert and bracket designs.,True
gang_box_internal_height,mm,44.45,4.445,Standard US single-gang electrical box internal height.,True
decora_cutout_width,mm,44.50,4.45,Decora / paddle-style faceplate cutout width. For custom switch plates and smart home inserts.,True
decora_cutout_height,mm,69.85,6.984999999999999,Decora faceplate cutout height.,True
conduit_half_inch_knockout_dia,mm,22.20,2.22,½ inch conduit knockout diameter in standard US electrical boxes.,True
conduit_three_quarter_inch_knockout_dia,mm,27.80,2.7800000000000002,¾ inch conduit knockout diameter.,True
sonoff_zbdongle_p_width,mm,20.00,2.0,Sonoff Zigbee Dongle Plus body width — for printed mount and bracket design.,True
sonoff_zbdongle_p_length,mm,75.00,7.5,Sonoff Zigbee Dongle Plus body length.,True
rpi_mount_hole_dia,mm,2.75,0.275,"Raspberry Pi 4/5 mounting hole diameter; M2.5 screws, 3.5 mm in from edges. Source: RPi mechanical spec",True
rpi_pico_board_length,mm,51.0,5.1,Raspberry Pi Pico board length. Source: RPi Pico datasheet,True
rpi_pico_board_width,mm,21.0,2.1,Raspberry Pi Pico board width.,True
rpi_pico_mount_pitch_x,mm,47.0,4.7,Pico mounting hole pitch (long axis).,True
rpi_pico_mount_pitch_y,mm,11.4,1.14,Pico mounting hole pitch (short axis).,True
rpi_pico_mount_hole_dia,mm,2.1,0.21,Pico mounting hole diameter.,True
rpi_zero_board_length,mm,65.0,6.5,Raspberry Pi Zero / Zero 2 W board length. Source: RPi mechanical spec,True
rpi_zero_board_width,mm,30.0,3,Raspberry Pi Zero board width.,True
rpi_zero_mount_pitch_x,mm,58.0,5.8,Pi Zero mounting hole pitch (long axis).,True
rpi_zero_mount_pitch_y,mm,23.0,2.3,Pi Zero mounting hole pitch (short axis).,True
din_rail_depth,mm,7.5,0.75,TS35 top-hat DIN rail depth (also a 15 mm deep variant). Source: EN 60715,True
header_pitch,mm,2.54,0.254,Standard 0.1 in header/breadboard/protoboard pin pitch.,True
wallplate_std_width,mm,70.0,7,US standard single-gang switch/outlet cover plate width (2.75 in).,True
wallplate_std_height,mm,114.0,11.4,US standard cover plate height (4.50 in).,True
wallplate_jumbo_width,mm,79.5,7.95,US oversized/jumbo cover plate width (3.13 in).,True
wallplate_jumbo_height,mm,124.0,12.4,US oversized/jumbo cover plate height (4.88 in).,True
wallplate_thickness,mm,3.0,0.3,"Cover plate thickness, nominal. Typical range 2.5-5 mm (0.10-0.20 in).",True
wallplate_screw_pitch,mm,70.0,7,"Cover-plate mounting screw spacing, vertical center-to-center (2.756 in). Same for toggle and Decora/rocker plates. Screw thread = #6-32.",True
wallplate_screw_clearance,mm,3.7,0.37,Clearance hole for the #6-32 device screw (major dia ~3.5 mm). ~0.144 in close clearance; open to 3.8 for printed parts.,True
wallplate_toggle_slot_width,mm,10.0,1,Classic toggle-switch opening width (0.40 in).,True
wallplate_toggle_slot_height,mm,25.4,2.54,Classic toggle-switch opening height (1.00 in).,True
gang_box_yoke_screw_span,mm,83.3,8.33,"Single-gang device yoke (strap) mounting-ear screw spacing, hole-to-hole (3.28 in). This is the bracket that screws into the box; #6-32.",True
gang_box_single_width,mm,50.0,5,"Single-gang box opening width, approximate (2.0 in).",True
gang_box_single_height,mm,76.0,7.6,"Single-gang box opening height, approximate (3.0 in).",True
gang_box_depth_min,mm,63.5,6.35,"Single-gang box depth, shallow end (2.5 in). Depth varies 2.5-3.5 in by box.",True
gang_box_depth_max,mm,88.9,8.89,"Single-gang box depth, deep end (3.5 in).",True
