Name,Expression,Unit,Comment
media_sata_25_height_thin,7.0 mm,mm,2.5-inch SATA drive height (thin/SSD). SFF-8201 standard.
media_sata_25_height_std,9.5 mm,mm,2.5-inch SATA drive height (standard HDD). SFF-8201 standard.
media_sata_35_width,101.6 mm,mm,3.5-inch SATA drive width. SFF-8301 standard exact.
media_sata_35_length,146.99 mm,mm,3.5-inch SATA drive length. SFF-8301 standard exact.
media_sata_35_height,25.4 mm,mm,3.5-inch SATA drive height. SFF-8301 standard. Some newer drives 17.8 mm.
media_m2_2280_width,22.0 mm,mm,M.2 2280 SSD width. PCI-SIG M.2 specification exact. Name encodes 22 x 80 mm.
media_m2_2280_length,80.0 mm,mm,M.2 2280 SSD length. PCI-SIG specification exact.
media_m2_2280_height,2.23 mm,mm,M.2 2280 SSD height (single-sided). Double-sided ~3.73 mm.
media_cfexpress_type_b_width,29.6 mm,mm,CFexpress Type B card width. CompactFlash Association spec exact.
media_cfexpress_type_b_height,38.36 mm,mm,CFexpress Type B card height. CFA spec exact.
media_cfexpress_type_b_thick,3.8 mm,mm,CFexpress Type B card thickness. CFA spec exact.
glasses_hard_case_width,70.0 mm,mm,Sunglasses hard shell case width typical. Nominal � range 65-75 mm. Verify for specific case.
glasses_hard_case_height,42.0 mm,mm,Sunglasses hard case height typical. Nominal � range 38-45 mm.
glasses_hard_case_length,165.0 mm,mm,Sunglasses hard case length typical. Nominal � range 155-170 mm.
glasses_folded_width,140.0 mm,mm,Folded eyeglasses width envelope typical. Nominal � range 130-155 mm.
glasses_folded_height,48.0 mm,mm,Folded eyeglasses height envelope typical. Nominal � range 40-55 mm.
glasses_folded_depth,48.0 mm,mm,Folded eyeglasses depth envelope typical. Nominal � range 35-55 mm.
